source,feature,combined_rank,combined_rank_score,anova_rank,anova_f_score,p_value,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
All sensors,gyroz_varVal,1,2,1,110.79812506040749,2.2942370531700447e-20,1,True,5,0.9294795731196901
All sensors,gyroz_domAmp,2,7,6,87.49660505626136,4.2304646334542505e-18,1,True,5,0.8565493253845746
All sensors,gyroz_maxVal,3,8,7,82.61300185891838,1.4413830422044726e-17,1,True,5,1.146403415589656
All sensors,gyroz_psdMean,4,13,2,109.55295238027331,2.9633032238699477e-20,11,False,5,
All sensors,gyrox_cvVal,5,21,15,38.63103775881039,2.487497915874673e-11,6,False,5,
All sensors,gyroz_peakToPeak,6,24,8,80.7094887278958,2.3586193289746774e-17,16,False,5,
All sensors,gyroz_cvVal,7,28,21,24.398033555223186,2.2133595510609574e-08,7,False,5,
All sensors,gyroz_mavVal,8,29,3,106.34732609213533,5.78857738421714e-20,26,False,5,
All sensors,gyroy_minVal,9,30,26,18.741727143595785,5.556408324771846e-07,4,False,5,
All sensors,gyroz_sdVal,10,35,4,99.07367304450233,2.8111777590934636e-19,31,False,5,
All sensors,BFinter_cvVal,11,39,38,10.180449349331417,0.00016579462908858312,1,True,5,0.8628263415871903
All sensors,gyroz_specEntropy,12,41,23,22.275963027485552,7.109199335445045e-08,18,False,5,
All sensors,gyroz_rmsVal,13,47,5,98.7257287006321,3.0387328444571493e-19,42,False,5,
All sensors,gyrox_mavVal,13,47,17,31.99654866778426,4.827879741053851e-10,30,False,5,
All sensors,MGinter_cvVal,13,47,46,9.451555728935244,0.0002851250556458693,1,True,5,0.5056230438195782
All sensors,gyroy_peakToPeak,14,48,27,17.358202575943768,1.2962632230189681e-06,21,False,5,
All sensors,accx_meanVal,15,52,14,41.725973007861704,6.8848138297416996e-12,38,False,5,
All sensors,GMinter_psdAsymmetry,15,52,50,8.590070850202492,0.0005485738695242438,2,False,5,
All sensors,gyrox_harmonicRatio,16,57,35,11.16148712715093,8.120114885223511e-05,22,False,5,
All sensors,accx_mavVal,17,59,13,41.73509841872712,6.859365479851645e-12,46,False,5,
All sensors,MGinter_minVal,17,59,36,10.973892688389988,9.294900828747676e-05,23,False,5,
All sensors,gyroz_meanFreq,17,59,47,9.023530984356066,0.000393933658589966,12,False,5,
All sensors,gyroz_minVal,18,66,9,58.45512960009863,1.5601455582737402e-14,57,False,5,
All sensors,gyroz_harmonicRatio,19,67,32,12.712553916984515,2.721052699614566e-05,35,False,5,
All sensors,accx_minVal,20,68,41,10.041712023781361,0.0001836728436440467,27,False,5,
All sensors,accz_rmsVal,20,68,53,7.596739564327775,0.0011891624651806697,15,False,5,
All sensors,accx_rmsVal,21,75,10,50.55030640671263,2.3595387689896196e-13,65,False,5,
All sensors,accx_varVal,22,77,18,28.87756891987487,2.1823651921924956e-09,59,False,5,
All sensors,accx_peakToPeak,22,77,22,22.85456086189903,5.14726400347132e-08,55,False,5,
All sensors,gyrox_domFreq,23,80,77,2.6133464903237202,0.08205344773681963,3,False,5,
All sensors,accy_maxVal,24,81,49,8.87446045776815,0.00044125836607399564,32,False,5,
All sensors,accx_harmonicRatio,25,89,20,24.96054219117277,1.637298177526479e-08,69,False,5,
All sensors,accy_domAmp,26,90,71,3.396086260645934,0.0404168712411561,19,False,5,
All sensors,accx_sdVal,27,91,12,44.348548031576286,2.421490985626061e-12,79,False,5,
All sensors,BFinter_waveformLength,28,92,75,3.0289381350653652,0.05621629193232272,17,False,5,
All sensors,accx_psdMean,29,95,11,47.11213349826093,8.379555383621234e-13,84,False,5,
All sensors,gyroy_rmsVal,29,95,34,11.993769011542396,4.492776105883514e-05,61,False,5,
All sensors,PLinter_cvVal,29,95,82,2.3013236187475665,0.10935815825145295,13,False,5,
All sensors,gyrox_specEntropy,30,101,43,9.801086900393177,0.00021956454091153708,58,False,5,
All sensors,gyrox_rmsVal,31,102,24,20.262594973014632,2.252187006805602e-07,78,False,5,
All sensors,accx_cvVal,32,105,16,33.87154032026746,2.0228520985933302e-10,89,False,5,
All sensors,GMinter_meanFreq,33,109,73,3.2678330959421475,0.0453348443189831,36,False,5,
All sensors,accy_rmsVal,34,111,39,10.086488746521766,0.0001776943319161264,72,False,5,
All sensors,gyrox_sdVal,35,113,25,20.078139843683417,2.509073643815781e-07,88,False,5,
All sensors,accx_maxVal,36,119,19,25.29098166350289,1.37359472320834e-08,100,False,5,
All sensors,gyroy_mavVal,36,119,37,10.527817001672183,0.00012850265527062718,82,False,5,
All sensors,TAinter_cvVal,37,122,81,2.3434286031836433,0.10518238553030981,41,False,5,
All sensors,accz_minVal,38,124,84,2.2442591186327547,0.11529317633987525,40,False,5,
All sensors,accz_sdVal,39,127,59,6.169158700021535,0.003755730107849882,68,False,5,
All sensors,gyrox_domAmp,40,130,33,12.360264770107284,3.475321445959049e-05,97,False,5,
All sensors,TAinter_minVal,41,131,56,6.986928741202099,0.0019325409211342764,75,False,5,
All sensors,accx_meanFreq,42,135,31,12.763407779191843,2.62708058704691e-05,104,False,5,
All sensors,accy_domFreq,42,135,48,8.939330543933053,0.00041997978575020574,87,False,5,
All sensors,MGinter_psdAsymmetry,43,137,129,1.8750479441031436,0.16268398625933808,8,False,5,
All sensors,MGinter_harmonicRatio,44,145,83,2.2933213009333224,0.11017100362205993,62,False,5,
All sensors,PLinter_harmonicRatio,45,154,117,1.990689162926057,0.14598631755816202,37,False,5,
All sensors,gyrox_meanVal,46,155,62,5.532410595157086,0.006369952741284412,93,False,5,
All sensors,PLinter_minVal,47,157,42,9.980836148757154,0.00019213666732946865,115,False,5,
All sensors,gyroy_domFreq,47,157,72,3.297259894824246,0.044154213912436825,85,False,5,
All sensors,gyroy_sdVal,48,158,44,9.766684817829068,0.00022526026411174188,114,False,5,
All sensors,accy_mavVal,48,158,51,8.367773770449615,0.0006510906584998753,107,False,5,
All sensors,gyroz_medianFreq,49,159,69,4.160900211922973,0.020571985701965452,90,False,5,
All sensors,BFinter_logDetector,50,160,151,1.6495240711790848,0.20118026408553963,9,False,5,
All sensors,accy_medianFreq,51,162,115,2.021814013067956,0.14180246295729054,47,False,5,
All sensors,BFinter_mavVal,52,163,119,1.9554898350582546,0.15087220088961828,44,False,5,
All sensors,gyrox_varVal,53,164,29,13.951139252421193,1.1701244139415724e-05,135,False,5,
