source,feature,combined_rank,combined_rank_score,anova_rank,anova_f_score,p_value,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope + Accelerometer,gyroz_varVal,1,2,1,110.79812506040749,2.2942370531700447e-20,1,True,5,0.7730138168020719
Gyroscope + Accelerometer,gyroz_psdMean,2,3,2,109.55295238027331,2.9633032238699477e-20,1,True,5,0.7692215265192339
Gyroscope + Accelerometer,gyroz_domAmp,3,7,6,87.49660505626136,4.2304646334542505e-18,1,True,5,0.6719434171867201
Gyroscope + Accelerometer,gyroz_maxVal,4,8,7,82.61300185891838,1.4413830422044726e-17,1,True,5,1.1928999441581718
Gyroscope + Accelerometer,gyroz_peakToPeak,5,10,8,80.7094887278958,2.3586193289746774e-17,2,False,5,
Gyroscope + Accelerometer,gyroz_minVal,6,20,9,58.45512960009863,1.5601455582737402e-14,11,False,5,
Gyroscope + Accelerometer,gyrox_cvVal,6,20,15,38.63103775881039,2.487497915874673e-11,5,False,5,
Gyroscope + Accelerometer,gyroz_cvVal,7,22,21,24.398033555223186,2.2133595510609574e-08,1,True,5,0.6901868167363138
Gyroscope + Accelerometer,gyroz_sdVal,8,23,4,99.07367304450233,2.8111777590934636e-19,19,False,5,
Gyroscope + Accelerometer,gyroz_rmsVal,9,26,5,98.7257287006321,3.0387328444571493e-19,21,False,5,
Gyroscope + Accelerometer,gyroy_minVal,10,32,26,18.741727143595785,5.556408324771846e-07,6,False,5,
Gyroscope + Accelerometer,gyroz_mavVal,11,35,3,106.34732609213533,5.78857738421714e-20,32,False,5,
Gyroscope + Accelerometer,gyrox_mavVal,12,40,17,31.99654866778426,4.827879741053851e-10,23,False,5,
Gyroscope + Accelerometer,accx_harmonicRatio,12,40,20,24.96054219117277,1.637298177526479e-08,20,False,5,
Gyroscope + Accelerometer,gyrox_specEntropy,13,43,40,9.801086900393177,0.00021956454091153708,3,False,5,
Gyroscope + Accelerometer,gyroz_specEntropy,14,47,23,22.275963027485552,7.109199335445045e-08,24,False,5,
Gyroscope + Accelerometer,accx_psdMean,15,49,11,47.11213349826093,8.379555383621234e-13,38,False,5,
Gyroscope + Accelerometer,accx_minVal,15,49,39,10.041712023781361,0.0001836728436440467,10,False,5,
Gyroscope + Accelerometer,accy_rmsVal,16,51,37,10.086488746521766,0.0001776943319161264,14,False,5,
Gyroscope + Accelerometer,gyroz_meanFreq,16,51,43,9.023530984356066,0.000393933658589966,8,False,5,
Gyroscope + Accelerometer,accx_specEntropy,17,54,42,9.488589750181603,0.00027730846135489524,12,False,5,
Gyroscope + Accelerometer,accx_peakToPeak,18,56,22,22.85456086189903,5.14726400347132e-08,34,False,5,
Gyroscope + Accelerometer,accz_rmsVal,19,57,48,7.596739564327775,0.0011891624651806697,9,False,5,
Gyroscope + Accelerometer,accy_domFreq,20,59,44,8.939330543933053,0.00041997978575020574,15,False,5,
Gyroscope + Accelerometer,accx_varVal,21,61,18,28.87756891987487,2.1823651921924956e-09,43,False,5,
Gyroscope + Accelerometer,accx_rmsVal,22,64,10,50.55030640671263,2.3595387689896196e-13,54,False,5,
Gyroscope + Accelerometer,accx_maxVal,23,66,19,25.29098166350289,1.37359472320834e-08,47,False,5,
Gyroscope + Accelerometer,gyrox_rmsVal,23,66,24,20.262594973014632,2.252187006805602e-07,42,False,5,
Gyroscope + Accelerometer,accy_maxVal,24,70,45,8.87446045776815,0.00044125836607399564,25,False,5,
Gyroscope + Accelerometer,accx_meanFreq,25,71,31,12.763407779191843,2.62708058704691e-05,40,False,5,
Gyroscope + Accelerometer,accx_meanVal,26,73,14,41.725973007861704,6.8848138297416996e-12,59,False,5,
Gyroscope + Accelerometer,accx_mavVal,27,76,13,41.73509841872712,6.859365479851645e-12,63,False,5,
Gyroscope + Accelerometer,accz_maxVal,28,77,47,7.794478715863644,0.001017706292543706,30,False,5,
Gyroscope + Accelerometer,gyroz_medianFreq,29,78,62,4.160900211922973,0.020571985701965452,16,False,5,
Gyroscope + Accelerometer,gyrox_harmonicRatio,30,80,35,11.16148712715093,8.120114885223511e-05,45,False,5,
Gyroscope + Accelerometer,gyrox_domAmp,31,82,33,12.360264770107284,3.475321445959049e-05,49,False,5,
Gyroscope + Accelerometer,accz_meanVal,31,82,75,1.083830771870386,0.34516586401721633,7,False,5,
Gyroscope + Accelerometer,gyrox_domFreq,32,85,67,2.6133464903237202,0.08205344773681963,18,False,5,
Gyroscope + Accelerometer,gyroy_maxVal,33,86,58,5.059744911752353,0.0094895791878421,28,False,5,
Gyroscope + Accelerometer,gyroy_peakToPeak,34,87,27,17.358202575943768,1.2962632230189681e-06,60,False,5,
Gyroscope + Accelerometer,gyrox_meanVal,35,88,55,5.532410595157086,0.006369952741284412,33,False,5,
Gyroscope + Accelerometer,accy_sdVal,36,90,28,14.573300415371857,7.729408009863686e-06,62,False,5,
Gyroscope + Accelerometer,gyroy_medianFreq,37,93,80,1.027309464810911,0.36450043522243614,13,False,5,
Gyroscope + Accelerometer,accx_sdVal,38,97,12,44.348548031576286,2.421490985626061e-12,85,False,5,
Gyroscope + Accelerometer,accz_minVal,38,97,68,2.2442591186327547,0.11529317633987525,29,False,5,
Gyroscope + Accelerometer,gyrox_sdVal,39,98,25,20.078139843683417,2.509073643815781e-07,73,False,5,
Gyroscope + Accelerometer,gyroy_meanVal,39,98,71,1.8656421240420868,0.16412628320410297,27,False,5,
Gyroscope + Accelerometer,accy_meanVal,39,98,72,1.5687481682274238,0.21716563303102376,26,False,5,
Gyroscope + Accelerometer,gyroy_mavVal,40,100,36,10.527817001672183,0.00012850265527062718,64,False,5,
Gyroscope + Accelerometer,gyroy_psdMean,40,100,50,7.13068987257235,0.0017222172025484052,50,False,5,
Gyroscope + Accelerometer,gyroz_domFreq,41,102,85,0.9375613747954172,0.3975359024131969,17,False,5,
Gyroscope + Accelerometer,accy_mavVal,42,103,46,8.367773770449615,0.0006510906584998753,57,False,5,
Gyroscope + Accelerometer,accx_cvVal,43,104,16,33.87154032026746,2.0228520985933302e-10,88,False,5,
Gyroscope + Accelerometer,gyrox_peakToPeak,43,104,49,7.330476226715387,0.0014685203433256293,55,False,5,
Gyroscope + Accelerometer,accy_peakToPeak,44,105,66,3.105739262109792,0.0524504055103515,39,False,5,
Gyroscope + Accelerometer,accy_harmonicRatio,44,105,101,0.0689977572359904,0.9334066034171862,4,False,5,
Gyroscope + Accelerometer,gyrox_maxVal,45,108,73,1.3638225967754825,0.2638971467051526,35,False,5,
Gyroscope + Accelerometer,accz_mavVal,46,109,57,5.403454116913385,0.007097837077238874,52,False,5,
Gyroscope + Accelerometer,gyroz_meanVal,46,109,87,0.8264090750445562,0.44279243723970363,22,False,5,
Gyroscope + Accelerometer,gyroz_psdAsymmetry,47,110,79,1.0397648910135653,0.3601455305862229,31,False,5,
Gyroscope + Accelerometer,gyroy_domFreq,48,111,65,3.297259894824246,0.044154213912436825,46,False,5,
Gyroscope + Accelerometer,accy_domAmp,49,112,64,3.396086260645934,0.0404168712411561,48,False,5,
Gyroscope + Accelerometer,gyroy_rmsVal,50,114,34,11.993769011542396,4.492776105883514e-05,80,False,5,
Gyroscope + Accelerometer,gyrox_minVal,51,117,38,10.063039483775336,0.00018079969115590767,79,False,5,
Gyroscope + Accelerometer,accy_cvVal,51,117,59,4.97927404634611,0.01016158815194433,58,False,5,
Gyroscope + Accelerometer,gyrox_varVal,52,119,29,13.951139252421193,1.1701244139415724e-05,90,False,5,
Gyroscope + Accelerometer,accz_sdVal,53,120,53,6.169158700021535,0.003755730107849882,67,False,5,
Gyroscope + Accelerometer,accz_peakToPeak,54,123,54,5.731667279389723,0.005393603534857084,69,False,5,
Gyroscope + Accelerometer,gyroy_sdVal,55,125,41,9.766684817829068,0.00022526026411174188,84,False,5,
Gyroscope + Accelerometer,accy_medianFreq,55,125,69,2.021814013067956,0.14180246295729054,56,False,5,
Gyroscope + Accelerometer,gyroz_harmonicRatio,56,126,32,12.712553916984515,2.721052699614566e-05,94,False,5,
Gyroscope + Accelerometer,gyroy_varVal,56,126,52,6.3150076022173565,0.003332218118157882,74,False,5,
Gyroscope + Accelerometer,gyrox_psdMean,57,128,30,13.108005989537189,2.0727015235990678e-05,98,False,5,
Gyroscope + Accelerometer,gyroy_specEntropy,58,130,89,0.7989442214964833,0.4547757907604565,41,False,5,
Gyroscope + Accelerometer,accz_harmonicRatio,59,131,94,0.4485871386871664,0.6407644299819695,37,False,5,
Gyroscope + Accelerometer,accz_domFreq,59,131,95,0.3666440970084944,0.6946787667751496,36,False,5,
Gyroscope + Accelerometer,accy_psdMean,60,133,56,5.4617922221317405,0.006758438900598564,77,False,5,
Gyroscope + Accelerometer,accz_varVal,61,136,61,4.363617192159172,0.01724609052202817,75,False,5,
Gyroscope + Accelerometer,accz_psdMean,62,141,60,4.5244462275665915,0.015006019635676169,81,False,5,
Gyroscope + Accelerometer,accy_varVal,63,143,51,6.72492481751795,0.0023869942739019466,92,False,5,
Gyroscope + Accelerometer,accy_specEntropy,64,144,78,1.0513030377081192,0.356159390706223,66,False,5,
Gyroscope + Accelerometer,gyroy_cvVal,64,144,100,0.07263336092227568,0.9300276487863123,44,False,5,
Gyroscope + Accelerometer,accz_specEntropy,65,149,98,0.25658827182003063,0.7745755218562882,51,False,5,
Gyroscope + Accelerometer,gyroy_domAmp,66,150,63,3.462361748972246,0.038095258793183935,87,False,5,
Gyroscope + Accelerometer,gyroy_meanFreq,67,154,82,0.9814795837766894,0.3809992800126468,72,False,5,
Gyroscope + Accelerometer,accz_cvVal,68,155,102,0.061416096824797754,0.9404939928893703,53,False,5,
Gyroscope + Accelerometer,accy_minVal,69,156,86,0.8667326144013621,0.42578767353268765,70,False,5,
Gyroscope + Accelerometer,accx_domFreq,70,158,97,0.33311688311688326,0.7180722170400982,61,False,5,
Gyroscope + Accelerometer,accy_meanFreq,71,159,70,1.9100896721524714,0.15742512183361335,89,False,5,
Gyroscope + Accelerometer,accz_domAmp,71,159,76,1.062278142985887,0.352410138044489,83,False,5,
Gyroscope + Accelerometer,gyrox_psdAsymmetry,71,159,77,1.0609153128171456,0.352873470201628,82,False,5,
Gyroscope + Accelerometer,accx_domAmp,72,160,74,1.1155342867095144,0.33478863512434015,86,False,5,
Gyroscope + Accelerometer,gyrox_meanFreq,73,161,96,0.3380842804429579,0.7145554207209223,65,False,5,
Gyroscope + Accelerometer,gyroy_harmonicRatio,74,162,91,0.7134277707238025,0.49428421826484237,71,False,5,
Gyroscope + Accelerometer,accx_medianFreq,75,167,99,0.2286096256684494,0.7963650315110661,68,False,5,
Gyroscope + Accelerometer,accz_medianFreq,76,168,90,0.7499539677955085,0.476991546455629,78,False,5,
Gyroscope + Accelerometer,gyrox_medianFreq,77,169,93,0.5875598623548753,0.5590115010009236,76,False,5,
Gyroscope + Accelerometer,accx_psdAsymmetry,78,178,81,1.0167339624680336,0.3682408232071394,97,False,5,
Gyroscope + Accelerometer,accz_psdAsymmetry,78,178,83,0.9761996902915635,0.38294909187789605,95,False,5,
Gyroscope + Accelerometer,accy_psdAsymmetry,79,180,84,0.9597070003083743,0.38910646887427036,96,False,5,
Gyroscope + Accelerometer,accz_meanFreq,80,181,88,0.8020483726119966,0.4534047366366202,93,False,5,
Gyroscope + Accelerometer,gyroy_psdAsymmetry,81,183,92,0.6704093866562524,0.5154856391711752,91,False,5,
