source,feature,combined_rank,combined_rank_score,anova_rank,anova_f_score,p_value,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope + EMG,gyroz_varVal,1,2,1,110.79812506040749,2.2942370531700447e-20,1,True,5,0.9294795731196901
Gyroscope + EMG,gyroz_domAmp,2,7,6,87.49660505626136,4.2304646334542505e-18,1,True,5,0.8565493253845746
Gyroscope + EMG,gyroz_maxVal,3,8,7,82.61300185891838,1.4413830422044726e-17,1,True,5,1.146403415589656
Gyroscope + EMG,gyroz_psdMean,4,12,2,109.55295238027331,2.9633032238699477e-20,10,False,5,
Gyroscope + EMG,gyrox_cvVal,5,15,10,38.63103775881039,2.487497915874673e-11,5,False,5,
Gyroscope + EMG,gyroz_cvVal,6,19,12,24.398033555223186,2.2133595510609574e-08,7,False,5,
Gyroscope + EMG,gyroy_minVal,7,20,16,18.741727143595785,5.556408324771846e-07,4,False,5,
Gyroscope + EMG,gyroz_peakToPeak,8,23,8,80.7094887278958,2.3586193289746774e-17,15,False,5,
Gyroscope + EMG,gyroz_sdVal,9,25,4,99.07367304450233,2.8111777590934636e-19,21,False,5,
Gyroscope + EMG,BFinter_cvVal,10,27,26,10.180449349331417,0.00016579462908858312,1,True,5,0.8628263415871903
Gyroscope + EMG,gyroz_mavVal,11,30,3,106.34732609213533,5.78857738421714e-20,27,False,5,
Gyroscope + EMG,MGinter_cvVal,12,32,31,9.451555728935244,0.0002851250556458693,1,True,5,0.5056230438195782
Gyroscope + EMG,gyroy_peakToPeak,13,34,17,17.358202575943768,1.2962632230189681e-06,17,False,5,
Gyroscope + EMG,gyroz_specEntropy,14,35,13,22.275963027485552,7.109199335445045e-08,22,False,5,
Gyroscope + EMG,GMinter_psdAsymmetry,14,35,33,8.590070850202492,0.0005485738695242438,2,False,5,
Gyroscope + EMG,gyroz_rmsVal,15,37,5,98.7257287006321,3.0387328444571493e-19,32,False,5,
Gyroscope + EMG,gyrox_harmonicRatio,15,37,23,11.16148712715093,8.120114885223511e-05,14,False,5,
Gyroscope + EMG,gyrox_mavVal,16,44,11,31.99654866778426,4.827879741053851e-10,33,False,5,
Gyroscope + EMG,gyroz_meanFreq,16,44,32,9.023530984356066,0.000393933658589966,12,False,5,
Gyroscope + EMG,gyroz_harmonicRatio,17,49,20,12.712553916984515,2.721052699614566e-05,29,False,5,
Gyroscope + EMG,gyrox_domFreq,18,50,47,2.6133464903237202,0.08205344773681963,3,False,5,
Gyroscope + EMG,MGinter_minVal,19,55,24,10.973892688389988,9.294900828747676e-05,31,False,5,
Gyroscope + EMG,gyroz_minVal,20,56,9,58.45512960009863,1.5601455582737402e-14,47,False,5,
Gyroscope + EMG,gyroy_rmsVal,21,58,22,11.993769011542396,4.492776105883514e-05,36,False,5,
Gyroscope + EMG,gyrox_meanVal,22,63,39,5.532410595157086,0.006369952741284412,24,False,5,
Gyroscope + EMG,PLinter_cvVal,22,63,52,2.3013236187475665,0.10935815825145295,11,False,5,
Gyroscope + EMG,BFinter_waveformLength,23,64,45,3.0289381350653652,0.05621629193232272,19,False,5,
Gyroscope + EMG,GMinter_meanFreq,24,69,44,3.2678330959421475,0.0453348443189831,25,False,5,
Gyroscope + EMG,TAinter_minVal,25,77,36,6.986928741202099,0.0019325409211342764,41,False,5,
Gyroscope + EMG,gyrox_specEntropy,26,78,29,9.801086900393177,0.00021956454091153708,49,False,5,
Gyroscope + EMG,gyrox_rmsVal,27,79,14,20.262594973014632,2.252187006805602e-07,65,False,5,
Gyroscope + EMG,gyrox_sdVal,28,88,15,20.078139843683417,2.509073643815781e-07,73,False,5,
Gyroscope + EMG,gyrox_peakToPeak,29,91,34,7.330476226715387,0.0014685203433256293,57,False,5,
Gyroscope + EMG,TAinter_cvVal,29,91,51,2.3434286031836433,0.10518238553030981,40,False,5,
Gyroscope + EMG,MGinter_harmonicRatio,30,92,53,2.2933213009333224,0.11017100362205993,39,False,5,
Gyroscope + EMG,gyroy_psdMean,31,96,35,7.13068987257235,0.0017222172025484052,61,False,5,
Gyroscope + EMG,gyroz_medianFreq,31,96,41,4.160900211922973,0.020571985701965452,55,False,5,
Gyroscope + EMG,gyroy_domFreq,32,99,43,3.297259894824246,0.044154213912436825,56,False,5,
Gyroscope + EMG,gyrox_domAmp,33,101,21,12.360264770107284,3.475321445959049e-05,80,False,5,
Gyroscope + EMG,MGinter_psdAsymmetry,34,102,96,1.8750479441031436,0.16268398625933808,6,False,5,
